title_old,title_new,definition
Dumpster fire,Dumpster fire," A complete and utter disaster or a completely chaotic situation, likened to a fire in a dumpster, which quickly becomes uncontrollable. The phrase can be applied to both situations and people. "
The front lines,,
Don’t cry over spilt milk,,
Meat shield,,
Throw up a white flag,,
Throw down the gauntlet,Throw down the gauntlet,"To issue a challenge or invitation, as to a fight, argument, or competition. "
Getting your foot in the door,Get a/(one's) foot in the door,To have a chance to do something that could lead to further opportunities. The phrase is often used to refer to employment. 
One foot out the door,One foot out the door,A lack of commitment to or eagerness to give up on someone or something. 
Dip your toe in,Dip (one's) toe in(to) (something),To tentatively begin or get involved in a new experience. Likened to gently placing one's toe into water to test its temperature. 
Test the waters,Test the water(s),"To informally or casually attempt to gauge the reaction of a potential audience or recipient of something, or to try to get an idea of what something will be like before actually doing it. Likened to feeling the temperature of water before getting in. "
Play the field,Play the field,1. To bet on all horses in a race other than the one favored to win. 
Play ball,Play ball,"1. In baseball, a phrase traditionally said or shouted by the umpire to start the game. "
Throw it at the wall and see what sticks,,
Watch a pot it never boils,,
That’s all she wrote,That's all she wrote,This is the end; there is nothing left to say. 
Head too big to fit in the door,,
Kick the can down the road,Kick the can down the road,"Especially in politics, to postpone or defer a definitive action, decision, or solution, usually by effecting a short-term one instead. "
Stepping on toes,Step," Used with the prepositions ""in"" or ""out of."""
Reading the writing in the wall,,
Coming out of the woodwork,Come out of the woodwork,"To appear unexpectedly, or from unexpected places. "
If walls could talk,Background,"First, in January 2000, there were rumors that ""If Walls Could Talk"" would be Dion's next single in the United Kingdom. But two months later, Sony Music UK released """
Fly on the wall,Fly on the wall,One who is able to observe something closely but invisibly and without interfering in the situation. 
The walls have ears,The walls have ears,Someone might be eavesdropping. 
Blow this popsicle stand,Blow this popsicle stand,"To leave a place, especially one that has become dull or of no use or interest, generally in search of something better. Often preceded by ""let's."" "
Till the wheels fall off,The wheels fall off,Things go disastrously wrong; a situation devolves into ruin or chaos. 
Hot on your tail,,
Bone to pick,A bone to pick,An issue to discuss—typically one that is a source of annoyance for the speaker. 
Put out to pasture,Put (someone or something) out to pasture,"1. Literally, to retire an animal from working by allowing it roam in a field or pasture. "
Ball and chain,Ball and chain,"1. Something, usually a responsibility of some kind, that restricts one's freedom or limits one's possibilities for personal pursuits. "
Down in the dumps,Down in the dumps,Sad or depressed. 
Don’t let the bed bugs bite,Don't let the bedbugs bite," Sleep soundly and well. Part of the sing-song rhyme ""good night, sleep tight, don't let the bedbugs bite,"" usually said to a child. "
Smoke and mirrors,Smoke and mirrors,"Trickery, deception, or misdirection. "
Running circles around someone,Run circles around (someone or something),1. To move much faster than someone or something. 
Picking up slack,,
Burning the midnight oil,Burn the midnight oil,To stay up late working on a project or task. The phrase refers to the outdated practice of using an oil lamp. 
Pass the torch,Pass the torch,"To transfer or bestow one's role, position, responsibilities, etc., to someone else. "
Butterflies in your stomach,Butterflies in (one's) stomach,A feeling of nervousness. 
The lady doth protest too much,The lady doth protest too much,"Used to indicate that someone (not necessarily a woman) is only denying something so fervently because the opposite is actually true. Adapted from the line ""the lady doth protest too much, methinks"" in Shakespeare's "
Not all hero’s wear capes,,
Walking on eggshells,Be walking on eggshells,To be acting with great care and consideration so as not to upset someone. 
Treading water,Tread water,1. To move one's feet and hands in a motion that will allow one to keep one's head above the surface of the water. 
Keeping your head above water,Keep (one's) head above water,"1. Literally, to hold one's head out of the water as to avoid drowning. "
Under the table,Under the table,1. Secretly (often because what is being done is illegal). 
Tables have turned,,
Deep-6,Deep six,1. 
6 feet under,,
Look on the bright side,Look on the bright side,To highlight the good in an otherwise bad situation. 
Casting a wide net,Cast a wide net,"To do something that will attract, appeal to, or include as large or diverse a group of people as possible. "
Paint with broad strokes,,
Food for thought,Food for thought,Something to consider. 
Penny pinching,Penny pincher,Someone who is extremely frugal or miserly with their money; someone who is very unwilling or reluctant to spend. 
Cream of the crop,The cream of the crop,The best of a particular group. 
Separate the wheat from the chaff,Separate the wheat from the chaff,To separate the good or valuable from that which is inferior. 
Reel it in,Reel in,"1. To draw someone or something toward oneself by winding in a line. A noun or pronoun can be used between ""reel"" and ""in."" "
Right hand man,Right-hand man,One's primary or most trusted assistant. Not necessarily a man. 
No man is an island,"No man is an island(, entire of itself)",A person requires the company and support of others and society as a whole in order to thrive. The line is from John Donne's 
Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. "
Opportunity is not a lengthy visitor,,
If you want to make an omelette you have to break some eggs.,,
Give ‘em enough rope to hang himself with,,
Kick them while they’re down,,
Tying the knot,Tie the knot,"To get married. An allusion to the handfasting ceremony, an ancient tradition of binding the hands of the bride and groom with lengths of cloth, cord, rope, etc., as a symbol of their lasting union. "
Tie up loose ends,Tie up (some/a few) loose ends,"To take care of, finish, or resolve some issues or pieces of business that are not critical but have remained outstanding. "
If it ain’t broke don’t fix it,"If it ain't broke, don't fix it","If something is performing or functioning well enough, there's no need to change or interfere with it (as you may introduce new problems as a result.) "
My ears are burning,(one's) ears are burning,"One intuits that people were talking about them, despite not witnessing it. "
The ball is in your court,The ball is in (one's) court,"One has the responsibility for further action, especially after someone else previously held responsibility. The phrase originated in tennis. "
Once in a blue moon,Once in a blue moon,Very rarely. 
As right as rain,(as) right as rain,In good health or order; feeling or working just as someone or something should. 
The bark is worse than the bite,,
Path of least resistance,The path of least resistance,"The thing, option, or course of action that is easiest to do; that which avoids confrontation, difficulty, awkwardness, or tension. "
Keeping me on my toes,Keep (one) on (one's) toes,"To force someone to stay active, alert, and focused on something or someone. "
Go touch grass,,
In a pickle,In a pickle,"In a troublesome or difficult situation. The adjectives ""pretty"" and ""right"" are commonly used before ""pickle."" "
Caught with your hand in the cookie jar,Caught with (one's) hand in the cookie jar,"To have been caught in the act or attempt of some wrongdoing, especially one involving bribery or the illicit exploitation of one's position of power or authority. "
Trim the fat,Trim the fat,To excise or discard elements that are seen as superfluous or unnecessary. 
Taking candy from a baby,,
To flesh out,,
Get ahead of the game,Get ahead of the game,1. To become prepared for or begin work on something ahead of schedule. 
In the trenches,(down) in the trenches,"The place, situation, or environment in which the most difficult or demanding work takes place. "
Cross that bridge when we come to it,Cross that bridge when (one) comes to it,To address something only when it actually happens or becomes an issue. 
Take at at face value,,
Toe the line,Toe the line,"To adhere to the rules of something. (Often misspelled as ""tow the line."") "
Draw a line in the sand,Draw a line in the sand,To establish a figurative boundary that someone or some group refuses to cross or beyond which no further advance or compromise is accepted. 
On framing time,,
Hold my beer,Hold my beer,A phrase indicating that one is about to do something stupid or dangerous. The image is that of a person at a party who asks a friend to hold their beer so that they can attempt some kind of ill-advised stunt. It is often used humorously to describe how something bad was followed by something even worse. 
Don’t feed them after midnight,,
Short end of the stick,The short end of the stick,An unequal outcome of a deal that results in a disadvantage or burden. 
Beating a dead horse,Beat a dead horse,To continue to focus on an issue or topic that is no longer of any importance or relevance. 
Slippery fish,,
Snake in the grass,Snake in the grass,One who feigns friendship with the intent to deceive. 
Sit back and rest on your laurels,,
Barefoot and pregnant,Negative connotations,A common assumption is that the expression relates to 
Rule of thumb,Rule of thumb,An approximation; a suggested method or guideline. 
Ring a bell,Ring a bell,"To seem familiar, remind one of something, or stimulate an incomplete or indistinct memory. "
Fly by the seat of your pants,Fly by the seat of (one's) pants,"To rely on one's instinct, as opposed to acting according to a set plan. "
Play stupid games win stupid prizes,"Play stupid games, win stupid prizes","If you engage in behavior that is stupid, obnoxious, or reckless, you will suffer unpleasant consequences. "
On the nose,On the nose,1. Precisely accurate; exactly right. 
Hit the nail on the head,Hit the nail (right) on the head,"1. Literally, to strike a nail on its head (the flat, circular end). "
Kick the bucket,,
Strike while the iron is hot,Strike while the iron is hot,To make most of an opportunity or favorable conditions while one has the chance to do so. 
Set in stone,Set in stone,Permanent. Typically refers to a plan or idea. 
The clay is dry,,
Trail of bread crumbs,,
Hanging on by a thread,Hang on by a thread,"To be perilously close to failing, dying, or resulting in a bad outcome. "
Green thumb,Green thumb,"A proclivity for successfully growing plant life. (Often used with ""have."") "
Splitting hairs,Split hairs,"To make or focus on trivial or petty details, differences, or distinctions. "
Beast of burden,Beast of burden,A domesticated animal used by humans to carry or pull heavy loads. 
Hang me out to dry,Hang (one) out to dry,To desert one in a troubling situation. 
With out a pot to piss in or a window to throw it out of,,
Without a leg to stand in,,
Paint yourself into a corner,Paint (oneself) into a corner,To create a predicament or unpleasant situation for oneself whereby there are no or very few favorable solutions or outcomes. 
Shooting from the hip,Shoot from the hip,"To speak or act rashly, recklessly, or bluntly, without consideration of potential consequences. An allusion to firing a handgun immediately upon drawing it from its holster without taking time to aim. "
Outside of my wheelhouse,Out(side) (of) (someone's) wheelhouse,"Against, outside of, or not matching someone's general interests, abilities, or area of familiarity; outside of someone's comfort zone. "
Above my pay grade,Above (one's) pay grade,"1. The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one's superiors. "
Caught in the crosshairs,,
Target on you back,,
Price on your head,,
Death by 1000 cuts,,
Can’t trust them as far as you can throw them,,
Throw caution to the wind,Throw caution to the wind(s),To abandon one's cautiousness in order to take a risk. 
Hold your horses,Hold your horses,Wait a moment or be patient (often because you are moving too quickly or thoughtlessly). 
Bring a knife to a gunfight,Bring a knife to a gunfight,"To come poorly prepared or equipped for some task, goal, competition, or confrontation. Often used in the negative as a forewarning or piece of advice. "
Mexican standoff,Mexican standoff," An impasse, deadlock, or stalemate from which no party involved will or can emerge victorious. Also written ""stand-off."" (Note: This phrase may be considered offensive to Mexicans or those of Mexican heritage.) Primarily heard in US. "
Play your cards right,Play (one's) cards right,To act adeptly and with good judgment; to make the best and most effective use of the resources at one's disposal. 
Play your cards close to the chest,,
Ace up your sleeve,Ace up (one's) sleeve,"A secret plan, idea, or advantage that can be utilized if and when it is required. A reference to cheating at a card game by hiding a favorable card up one's sleeve. "
Coming in hot,,
Hold your hand,Hold (one's) hand,"1. Literally, to grasp one's hand and continue holding it, typically while walking together or sitting next to each other, often as a show of affection. "
The 11th hour,The eleventh hour,The last possible moment or opportunity. Can be hyphenated if used as a modifier before a noun. 
A real class act,,
For the birds,For the birds," Worthless, stupid, or completely undesirable. "
Make ends meet,Make (both) ends meet,To earn just enough money to cover one's living expenses. 
Wear your heart on your sleeve,Wear (one's) heart on (one's) sleeve,To openly display or make known one's emotions or sentiments. 
Got it in the bag,,
Idle hands are the devils playground,,
Secure the bag,,
Slow your roll,Slow (one's) roll, To calm oneself down. Primarily heard in US. 
Off the beaten path,Off the beaten path,"1. Little-known, or in a remote or lesser-known area. Said especially of a business or destination. A ""beaten path"" refers to a route that is frequently traveled. "
Read em and weep,Read 'em and weep,"Look at these results, which clearly show that I am the winner and you are the loser. A clichéd expression that is especially commonly used during card games. "
My hands are tied,(one's) hands are tied,"One is being prevented from acting, helping, or intervening as one should or desires to because of circumstances beyond one's control, such as rules, conflicting orders, or higher priorities. "
With one had tied behind my back,,
Knock your dick in the dirt,,
Moving the goalpost,Move the goalposts,"To alter the rules or parameters of a situation in such a way as to suit one's needs or objectives, making it more difficult for someone else to succeed, keep pace, or achieve an opposing objective. "
Pulling the rug from under you,Pull the rug (out) from under (someone),"To suddenly or unexpectedly remove or rescind support, help, or assistance from someone; to abruptly leave someone in a problematic or difficult situation. "
All roads lead to rome,All roads lead to rome,"The same outcome can be reached by many methods or ideas. This phrase refers to the road system of the Roman Empire, in which Rome was positioned in the center, with every road attached to it. "
Walk in the park,A walk in the park,A task or activity that is easy or effortless to accomplish. 
Too many irons in the fire,Too many irons in the fire,An excessive number of simultaneous activities or potential undertakings or opportunities underway. 
Two tacos short of a combination plate,,
A whole other ball game,,
Burying your head in the sand,Bury (one's) head in the sand,"To avoid, or try to avoid, a particular situation by pretending that it does not exist. The phrase refers to the common but mistaken belief that ostriches bury their heads in the sand when frightened, so as to avoid being seen. "
Burn a hole in your pocket,Burn a hole in (one's) pocket,"To be in one's possession and causing one an intense urge to make use of it. Typically used in reference to money, suggesting that the person with the money feels the need to spend it quickly. "
Letting your true colors shine,,
If you fall of your horse you gotta get back on,,
If you want to make god laugh make a plan,,
Gun shy,Gun-shy,1. Frightened of using a gun or by the sound of one firing. 
Trigger happy,Trigger-happy,"1. Eager to use a weapon, i.e. to pull the trigger (of a gun). "
You can’t take it with you,(you) can't take it with you (when you go), A warning against materialism that alludes to the fact that you can't keep your money or possessions when you die. 
Doesn’t pack a punch,,
A drop in the bucket,Drop in the bucket,"A tiny amount, especially when compared to a much larger one. "
Opiate of the masses,The opiate of the masses,"That which creates a feeling of false happiness, contentment, or numbness to reality. Adapted from Karl Marx's description of organized religion. "
The faster they rise the harder they fall,,
Out of sight out of mind,"Out of sight, out of mind",That which cannot be seen or is not noticeable will be forgotten. 
Wearing multiple hats,,
Jack of all trades,Jack of all trades,A person who is skilled in many different areas. 
The nearer the bone the sweeter the meat,"The nearer the bone, the sweeter the meat", The last parts of something are the most enjoyable. 
To worry is to make payments on a debt that may never come due,,
A rolling stone gathers no moss,A rolling stone gathers no moss," A person who wanders or travels often and at length will not be burdened by attachments such as friends, family, or possessions. Can be used as a negative (to suggest that such a person won't find a fulfilling place in life) or as a positive (to suggest that they will have a more interesting and unpredictable life). "
Necessity is the mother of invention,Necessity is the mother of invention, Creative solutions are often produced in response to difficulties or hardships that need to be overcome. 
A day late and a dollar short,A day late and a dollar short,Too late to be of any benefit. 
Sixpence none the richer,History,
Lose the battle but win the war,"Lose the battle, but win the war","To suffer a minor defeat or failure, but achieve a larger, more important, or overarching success or victory over time. The phrase is often split into two halves across different parts of a sentence to achieve its meaning. "
Uncharted waters,Uncharted waters,"A situation or circumstance that is foreign, unclear, or unfamiliar and which may be dangerous or difficult as a result. "
For whom the bell tolls,Background,Ernest Hemingway wrote 
Never look into another bowl except to see if they have enough,,
A rose by any other name would smell as sweet,A rose by any other name (would smell as sweet),What someone or something is called does not change their innate characteristics or attributes. The shorter version of the phrase is often used when describing undesirable people or things. The full line is from Shakespeare's 
He who laughs last laughs best,Have the last laugh,To ultimately achieve success after encountering adversity or doubt from others. 
Kiss the ring,Kiss the ring,"To make a gesture of deference, fealty, or genuflection to a person of power or authority. "
A prison of our own device,,
What goes around comes around,What goes around comes around," One's actions or behavior will eventually have consequences for one, even if indirectly. The phrase typically refers to one being a victim of the same negative circumstances that they have inflicted on others. "
If your going to get we you might as well go swimming,,
Don’t cry over spilt milk,,
Put someone on a pedestal,Put (someone or something) (up) on a pedestal,"To believe or behave as if someone or something is perfect, wonderful, or better than others, to the extent that one is unable to see its potential flaws or faults. "
The view from your ivory tower,,
On your high horse,On (one's) high horse,Having an attitude of condescending moral superiority. 
Turn a blind eye,Turn a blind eye (to something),To knowingly ignore some wrongdoing. 
Cat got your tongue,(has the) cat got your tongue?,A humorous question directed at one who is not speaking very much or at all. 
Hard nut to crack,A hard nut (to crack),"A person, thing, situation, or problem that is particularly difficult to understand, solve, or deal with. "
Up shit creek without a paddle,Up shit creek (without a paddle)," In a challenging or troublesome situation, especially one that cannot be easily resolved. "
Even the Mona Lisa is falling apart,,
Diamonds are made under pressure but not over night,,
"Men are from mars, women are from Venus",,
Reopen an old wound,,
Pour salt in the wound and expect it to heal,,
Swimming with the fishes,Be swimming with the fishes," To be murdered and have one's body disposed of in a river, lake, or ocean. (A less common variant of ""be sleeping with the fishes."") "
Light at the end of the tunnel,Light at the end of the tunnel,A sign that something difficult or unpleasant is almost at an end. 
Pride is a cold bedfellow,,
Cut off the head and the body will die,,
The little dutch boy with his finger in the dike,,
A hard pill to swallow,A hard pill to swallow,"Something, especially a fact or piece of news, that is unpleasant or difficult but which is unavoidable or must be accepted. "
Nothing left to do but bite the bullet,,
Bring home the bacon,Bring home the bacon,"1. To earn money, as from steady employment. The phrase may originate from the fairground contest in which participants try to catch a greased pig in order to win it. "
Butter your bread on both sides,Butter (one's) bread on both sides,1. To benefit or profit from two or more separate and often contradictory or incompatible things or sources. 
Slap my ass and call me Sally,,
The bigger the pants the deeper the pockets,,
Ask me your questions I’ll tell you my lies,,
In the belly of the beast,In the belly of the beast," Within the worst, most central area or part of something deeply unpleasant or malicious. "
Wild goose chase,Wild goose chase,A prolonged or chaotic search for something that is difficult to find (often because it does not exist). 
Jack of all trades,Jack of all trades,A person who is skilled in many different areas. 
Cut the mustard,Cut the mustard,1. 
Don’t pull the wool over my eyes,,
Shoot yourself in the foot,Shoot (oneself) in the foot,"To damage or impede one's own plans, progress, or actions through foolish actions or words. "
Salad days,Salad days,"A youthful, carefree time of innocence and inexperience. The phrase comes from a line in Shakespeare's "
Bone to pick,A bone to pick,An issue to discuss—typically one that is a source of annoyance for the speaker. 
Bigger fish to fry,Bigger fish to fry,More important matters to deal with. 
Herding cats,Be like herding cats,To be very unwieldy or unmanageable; to be nearly impossible to organize. Usually said of a group of people. 
Taste of your own medicine,A taste of (one's) own medicine,An experience of the same harmful or unpleasant thing that one has inflicted on others; an attack in the same manner in which one attacks others. 
March to the best of your own drum,,
Cross your heart and hope to die,,
Scraping the bottom of the barrel,Scrape the bottom of the barrel,"To use or select from the last or worst of the resources or options from a particular range or set, even if they are not satisfactory, because there are no others to choose from. "
Gift that keeps on giving,The gift that keeps on giving,"Something that continues to have a payoff, consequences, or other such impact. "
Let me sleep on it,,
Don’t sleep on it,,
Down the rabbit hole,Down a/the rabbit hole,"1. In a situation, process, or journey that is particularly strange, problematic, difficult, complex, or chaotic, especially one that becomes increasingly so as it develops or unfolds. (An allusion to "
Level the playing field,Level the playing field,"To make a situation or activity more fair and balanced by giving an extra advantage or opportunity to those who would normally be at a disadvantage, or by attempting to take away or diminish advantages, perhaps of one's adversary or competitor. "
Your ass is grass,(one's) ass is grass,
Don’t shoot the messenger,Don't shoot the messenger,Don't get angry at or punish someone who is simply delivering bad or undesirable news as they are not responsible for it. 
Don’t hate the player hate the game,"Don't hate the player, hate the game", You should hate a system or situation rather than the people involved in it. 
Bucket list,Bucket list,"A list of accomplishments or tasks one hopes to do or achieve before one dies. ""Bucket"" here is taken from the phrase ""kick the bucket,"" meaning to die. "
Partner in crime,Partner in crime,1. One who aids or accompanies someone in crimes or nefarious actions. 
Anyway you slice it,,
All is fair in love and war,All is fair in love and war,"Otherwise questionable actions are acceptable under extenuating circumstances. Often written as ""all's fair in love and war."" "
Above my pay grade,Above (one's) pay grade,"1. The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one's superiors. "
Not on my dime,,
Light in the loafers,Light in the loafers,"pejorative Homosexual, especially of men. "
Rubbing elbows,Rub elbows,To interact or mingle with a person or group. 
Beating around the bush,Beat around the bush,To speak vaguely or euphemistically so as to avoid talking directly about an unpleasant or sensitive topic. Primarily heard in US. 
Keep your friends close and your enemies closer,Keep your friends close and your enemies closer,Be very aware of your enemies' behavior in order to detect and avoid any malicious actions. 
Keep your eyes on the prize,Keep your eye(s) on the prize,"To remain focused on a particular goal or award, especially when the path to it is long or arduous. "
Under the radar,Under (the/one's) radar,"Without being noticed, detected, or addressed. "
Take under your wing,,
Straw that broke the camel’s back,The straw that breaks the camel's back,"A seemingly small or inconsequential issue, problem, or burden that proves to be the final catalyst in causing an overworked or overburdened person, system, organization, etc., to fail, give up, or collapse. "
Late in the game,Late in the game,"At a late point in some situation, development, activity, etc. Likened to an athletic game or match. "
Last straw,The last straw,"The final problem, setback, or source of irritation in a series that causes one to finally lose patience or for something to stop working. A shortening of the proverb ""it is the last straw that breaks the camel's back."" "
Connect the dots,Connect the dots,"1. Literally, to draw a line between dots, often as part of a children's activity to create an illustration or design. "
Dancing with the devil,,
When push comes to shove,If push comes to shove,If the situation deteriorates or becomes desperate; if drastic measures are needed. 
Been around the block,Been around (the block),"To have experience, either in a particular area or in one's life overall. "
Eye for an eye,Eye for an eye (and a tooth for a tooth).," If someone hurts you, you should punish the offender by hurting him or her in the same way. (An ancient principle of justice going back to biblical times.) "
Eyes in the back of your head,Eyes in the back of (one's) head,"The ability to detect what is going on all around one, even beyond one's field of vision. "
In the clear,In the clear,Deemed innocent or able to avoid blame for some crime or misdeed. 
Cold turkey,Cold turkey,The abrupt cessation of something (most often the use of a drug). 
We’re gonna need a bigger boat,,
It’s all greek to me,(it's) (all) greek to me," This might as well be a foreign language, because I don't understand it at all. The phrase comes from Shakespeare's play "
How do you like them apples,How do you like them apples,"1. A phrase used to draw attention to one's cleverness or superiority to the one being addressed, especially after a recent triumph. "
Break the mold,Break the mold,To do something in a new way. 
Worth your weight in salt,,
Turn on a dime,Turn on a dime,1. To turn very quickly and with great agility. 
Hold down the fort,Hold (down) the fort,"To maintain the proper functioning or order of some situation or place, typically during someone's absence. "
I’m all ears,I'm all ears,I'm ready and eager to hear what you have to say. 
Bend over backwards,Bend over backward(s), To exert a lot of effort towards some end. This phrase is often used to express frustration when one's efforts go unrecognized. 
Wrapped around their little finger,,
No spring chicken,No spring chicken," No longer young or youthful. (A ""spring chicken"" refers to a young chicken.) "
Counting sheep,Count sheep,1. To perform any repetitive or monotonous thought exercise as a means of calming the mind to try to fall asleep (such as the traditional sleep aid of counting imaginary sheep). 
Leg up in life,,
Put your pants on one leg at a time,Put (one's) pants on one leg at a time (just like everybody else),"To be an ordinary human being; to go through life like everyone else. (Used especially in reference to someone who is of an elevated social status, such as a celebrity, star athlete, member of royalty, etc. Variations of ""everybody else"" are also often used, such as ""the rest of us,"" ""you and me,"" ""ordinary people,"" and so on.) Primarily heard in Australia. "
Boots on the ground,Boots on the ground,Soldiers who are on active duty and physically present during a combat operation. 
Down to the nitty gritty,,
Knock on wood,Knock on wood,"A superstitious expression said, typically in combination with actually touching or knocking on a wooden object or surface, when one desires something positive to continue, lest the mention of it ""jinx"" or somehow reverse one's good fortune. "
Salt of the earth,The salt of the earth,"A person or group that is regarded as genuine, unpretentious, and morally sound. This phrase is typically complimentary. "
Under the weather,Under the weather,1. Mildly ill. 
Fly in in the ointment,,
Nothing to write home about,Nothing to write home about,"Not especially impressive, remarkable, or noteworthy; rather dull, mediocre, uninteresting, or unimportant. "
A hired gun,,
Dropped the ball,Drop the ball,1. To make a mistake. 
Bury the hatchet,Bury the hatchet,1. To make peace with someone. 
Open the floodgates,Open the floodgates,To allow for an expanding number of (typically negative) consequences as the result of another related action. 
See a man about a horse,See a man about a horse,"To leave somewhere without explaining where one is going, but usually used as an obvious euphemism for going to the toilet or getting an alcoholic drink. "
Taken with a grain of salt,Take (something) with a grain of salt,"To consider or evaluate something, such as a statement, with the understanding that it may not be completely true or accurate, typically due to the unreliability of the source. "
Trust you as far as i can throw you,,
You made your bed now you got to lay in it,,
Rolling with the punches,Roll with the punches,"1. Literally, in martial arts (especially boxing), to maneuver one's body away from a blow so as to lessen the force of the impact. "
Two way street,Two-way street,A situation in which both sides must put forth an equal amount of effort to achieve a desired result. 
Double down,Double down,"1. In blackjack, to double one's wager after seeing one's initial hand of cards, with only one more card allowed to be drawn afterward. "
Stand your ground,Stand (one's) ground,1. To brace oneself and maintain one's position during or when anticipating an attack. 
Dust your shoulders off,,
Blowing steam,,
Thrown to the wolves,Wolf,
Throw under the bus,Throw (one) under the bus,"1. To exploit one's trust for an ulterior purpose, advantage, or agenda; to harm one through deceit or treachery. "
Raised by wolves,Raised by wolves,Of or describing someone who seems particularly uncouth or socially inept. 
Leaving a trail of breadcrumbs,,
Get with the program,Get with the program,To conform or fall in line with what is expected. 
Water under the bridge,Water under the bridge,A prior issue that is now resolved or considered resolved. 
Shit or get off the pot,Shit or get off the pot, Either commit to doing something productive or step aside and stop wasting time. 
On the shoulders with of giants,,
Pull out all the stops,Pull out all the stops,To do something with maximum effort or ability; to use all or the best available resources when doing something. 
Steal their thunder,Steal (one's) thunder,"1. To garner the attention or praise that one had been expecting or receiving for some accomplishment, announcement, etc. "
Wash your hands of the whole affair,,
Break the bank,Break the bank,To be very expensive. The phrase is often used in the negative to convey the opposite. 
Speak of the devil and he shall appear,"Speak of the devil, and he shall appear", An acknowledgment of a person who has arrived just as or after they were being discussed. 
Curiosity killed the cat but satisfaction brought it back,,
Wake up and smell the coffee,Wake up and smell the coffee,Pay attention to what is happening. 
You can’t put the toothpaste back in the tube,Put the toothpaste back in the tube,"To attempt to revert a situation to how it formerly existed by containing, limiting, or repressing information, ideas, advancements, etc., that have become commonplace or public knowledge. Almost always used in the negative to denote the impossibility of such an attempt. "
A pictures worth a 1000 words,,
Doing the lord’s work,,
When small men cast long shadows the day is almost over,,
Meat and potatoes,Meat-and-potatoes,Concerned with or pertaining to the most basic or fundamental aspects of something. 
Beating your head against the wall,Beat (one's) head against a/the wall,To attempt continuously and fruitlessly to accomplish some task or achieve some goal that is or seems ultimately hopeless. 
Barking up the wrong tree,Bark up the wrong tree,"To attempt or pursue a futile course of action, often by making some kind of suggestion or request. "
Falling on deaf ears,Fall on deaf ears,To be ignored. 
Don’t ask how the sausage is made,,
The emperor’s new clothes,The emperor's new clothes,"Something widely accepted as true or professed as being praiseworthy due to an unwillingness of the general population to criticize it or be seen as going against popular opinion. Taken from the Hans Christian Andersen fable of the same name, in which a vain king is sold imaginary clothing (i.e., nothing at all) by two weavers who promise him that it is visible only to the wise and cannot be seen by those who are ignorant, incompetent, or unfit for their position. "
Kick into gear,,
Shooting the shit,Shoot the shit," To chat or converse aimlessly or casually, without any serious topic of conversation. "
Something’s rotten in denmark,Something is rotten in (the state of) denmark,Something strange or suspicious is going on. The line comes from Shakespeare's 
Exit stage left,Exit stage left,"An allusion to stage directions in theater, indicating when (and where) an actor should leave the stage from a scene."
Waiting for the dust to settle,Wait for the dust to settle,1. To wait until a disturbance or commotion has lessened or been resolved. 
Throw dust in your eyes,Throw dust in (one's) eyes,To mislead or deceive one by presenting or introducing distracting or obfuscating information. 
Achilles heel,Achilles' heel,"A weakness or vulnerability that can lead to permanent destruction or downfall. In Greek mythology, the hero Achilles was killed after being struck in the heel—the only weak spot on his body. "
A chain is only as strong as it’s weakest link,,
A chink in the armor,Chink in (one's)/the armor,A minor but very detrimental flaw or weakness. 
Missing link,Missing link,1. A hypothetical extinct animal that is believed to be the evolutionary connection between man and ape. 
Changing gears,Change gear,"1. Literally, to switch a car, bicycle, or other vehicle into a different gear. "
When you hear hoofbeats think horses not zebras,"When you hear hoofbeats, think horses, not zebras.","The simplest, most common, or most obvious explanation for something is most likely the correct one. Used especially in relation to medical diagnoses. "
In over your head,In over (one's) head,"Too deeply involved in or with a difficult situation, beyond the point of being able to control or cope any longer. "
Plenty of fish in the sea,There are plenty of (other) fish in the sea,"There are many other excellent or more suitable people, things, opportunities, or possibilities in the world that one may find. Said especially when one has recently been unlucky, unsuccessful, or has broken up with a romantic partner. "
My dogs are barking,(one's) dogs are barking,One's feet are very sore and tired from physical exertion. 
Make it rain,Make it rain, To throw or drop dollar bills in a show of wealth. 
Put your money where your mouth is,Put (one's) money where (one's) mouth is,"To do, live up to, or follow through on something one talks about, threatens, or promises, especially (but not always) when it involves spending money. "
Maiden voyage,Maiden voyage,"1. The first time a vehicle, especially a boat or ship, departs on a journey. "
No guts no glory,"No guts, no glory",Success does not come without the courage to take risks. 
Flash in the pan,Flash in the pan,Someone or something whose success or popularity is short-lived. 
It’s better to burn out than fade away,,
Left in the lurch,Leave (one) in the lurch,"To leave or abandon one without assistance in a particularly awkward, difficult, or troublesome situation. "
High and dry,High and dry,"1. Literally, dry and unaffected by water, typically flood waters. "
Bury the lead,Bury the lead,"In journalism, to open a news article with secondary or superfluous information, thus relegating the central premise (the lead, which usually occupies this position) to a later part. ""Lead"" in this sense is sometimes written as ""lede."" "
The sky is the limit,The sky's the limit,Anything is possible. 
A rising tide lifts al boats,,
Served on a silver platter,,
Fed from a silver spoon,,
The road paved in gold,,
Pillow talk,Pillow talk,Intimate conversations between two people in a romantic relationship when they are in bed together. 
