title_old,title_new,definition," day"," owner"
Trojan horse,Trojan horse,"Something that initially seems innocuous but is ultimately bad or malicious. A reference to the myth in which Ancient Greek soldiers hid inside a giant wooden horse in order to gain access to the city of Troy. ","2023-07-14","Eve"
Like a fish in water,,,"2023-07-14","Eve"
Where there’s smoke there’s fire,"Where there's smoke, there's fire","When there is some indication of a problem or wrongdoing, such a thing probably occurred or exists. ","2023-07-14","Eve"
Shot in the dark,A shot in the dark,"A guess or estimate with very little or no assurance as to its accuracy. ","2023-07-14","Eve"
If you can’t beat ‘em join em,,,"2023-07-14","Eve"
Low hanging fruit,Low-hanging fruit,"That which is especially easy to obtain or achieve. Often implies something that is perhaps not as satisfying as that which takes more effort or skill to obtain or do. ","2023-07-14","Miles"
Let it slide,Let (something or someone) slide,"To choose not to take any action to correct or improve a particular situation or someone's actions or behavior. ","2023-07-15","Miles"
Pass the buck,Pass the buck,"To shift or reassign the blame or responsibility (for something) to another person, group, or thing. ","2023-07-15","Miles"
X marks the spot,X marks the spot,"This sign or mark (not necessarily an X) indicates the specific or exact location (of something). ","2023-07-15","Miles"
15 minutes of fame,15 minutes of fame,"A brief period of celebrity or notoriety. The term was coined by artist Andy Warhol. ","2023-07-15","Miles"
Hit the spot,Hit the spot,"To satisfy something, such as hunger or a craving. ","2023-07-15","Miles"
Made in the shade,Made in the shade,"In a comfortable position in life, usually due to some manner of financial success or windfall. ","2023-07-15","Eve"
Run for your money,Run for (one's) money,"A prolonged period of success. ","2023-07-15","Miles"
Chopped liver,Chopped liver," A trivial, unimportant, or unappealing person or thing. The phrase likely originated as a part of Jewish humor, referring to the serving of chopped liver as a common side dish (thus overlooked in favor of the main course), the taste of which many do not find appealing. ","2023-07-15","Miles"
Out to lunch,Out to (some meal),"Away from one's normal location to eat a particular meal. ","2023-07-15","Eve"
Circling the drain,Circle the drain,"To be in a state of severe deterioration such that one is approaching inevitable ruin, failure, or death. Usually used in the continuous form. ","2023-07-15","Eve"
That’s the ticket,That's the ticket,"That is exactly the thing that is or was needed or called for. ","2023-07-15",
Sloppy seconds,,,"2023-07-15","Miles"
Back in the fold,,,"2023-07-15","Eve"
Take someone under your wing,Take (someone) under (one's) wing,"To act as someone's guardian, protector, or mentor, especially someone who is vulnerable or in need of help, protection, or instruction. ","2023-07-15","Eve"
We’re not in kansas anymore,Be not in kansas anymore,"To no longer be in a place that one knows or where one is comfortable; to be in a completely unfamiliar and/or discomfiting environment. A reference to ","2023-07-15","Eve"
Out of the woods,Out of the wood(s),"No longer in danger or dealing with a particular difficulty, though not entirely resolved. Usually used in the negative. ","2023-07-15","Eve"
Balls of steel,,,"2023-07-15","Eve"
Eyes too big for your stomach,,,"2023-07-15",
Doe eyed,,,"2023-07-15","Eve"
Snug as a bug in a rug,Snug as a bug (in a rug),"Very warm and cozy, typically while wrapped in blankets. ","2023-07-15","Miles"
The cat that ate the canary,The cat that ate the canary,"Someone who is smugly pleased or self-satisfied. ","2023-07-15","Eve"
Tongue twister,Tongue twister,"A word or phrase that is hard to say clearly due to difficult alliteration or pronunciation. ","2023-07-15","Eve"
Roll of the dice,Roll of the dice,"An especially risky action undertaken to achieve a favorable but unlikely outcome. ","2023-07-15","Eve"
He’s lost his marbles,,,"2023-07-15",
Playing with fire,Play with fire,"To do something that risks causing one harm, damage, or misfortune; to do something dangerous. ","2023-07-15",
Dead of night,Dead of night,"The middle of the night. ","2023-07-15","Eve"
Perfect storm,Perfect storm,"A chance or rare combination of individual elements, circumstances, or events that together form a disastrous, catastrophic, or extremely unpleasant problem or difficulty. ","2023-07-15","Eve"
Cut corners,Cut corners,"To skip certain steps in order to do something as easily or cheaply as possible, usually to the detriment of the finished product or end result. ","2023-07-15","Miles"
Tall drink of water,Tall drink of water,"A tall, typically slender person. ","2023-07-15","Eve"
The road less traveled,The road less traveled,"The less popular or common option. The phrase is typically associated with Robert Frost's 1916 poem ""The Road Not Taken."" ","2023-07-15","Miles"
A square peg in a round hole,A square peg in a round hole,"A person who does not fit in or is not comfortable with others or in a particular situation; someone who is unsuited to a certain task, position, situation, or group of people. ","2023-07-15","Miles"
Bouncing off the walls,Be bouncing off the walls,"To be very active and energetic to the point of hyperactivity. ","2023-07-15","Miles"
Tie a pork chop around it neck to get the dog to play with it,,,"2023-07-15","Kieth"
Color me pink,,,"2023-07-15","Miles"
Like lemmings to the sea,,,"2023-07-15","Miles"
A scholar and a gentleman,A scholar and a gentleman,"Someone (usually a male, due to the gender implication of ""gentleman"") who is admirable or of high esteem. Although used sincerely as a compliment, it is generally bombastic and lighthearted in nature. ","2023-07-15","Miles"
Gone with the wind,Gone with the wind,"A phrase used to describe something that has disappeared, passed, or vanished, permanently or completely. The phrase was popularized by Margaret Mitchell's 1936 novel of the same name. ","2023-07-15","Miles"
Old hat,Old hat,"Unoriginal, out of date, or old-fashioned. ","2023-07-15","Eve"
Doesn’t fit the mold,,,"2023-07-15","Miles"
Left a bad taste in your mouth,Leave a bad taste in (one's) mouth,"To give one a negative impression (based on something that has already happened). ","2023-07-15",
Cold shoulder,Cold shoulder,,"2023-07-15","Miles"
Tongue in cheek,(with) tongue in cheek,"Humorous or intended as a joke, though seeming or appearing to be serious. Hyphenated as ""tongue-in-cheek"" if used before a noun. ","2023-07-15","Eve"
When there’s a will there’s a way,,,"2023-07-15","Miles"
No harm no foul,"No harm, no foul","If there was no bad outcome to an action, then there's no need to be angry or upset about it. ","2023-07-15","Eve"
Cut the chord,,,"2023-07-15","Miles"
Hit the hay,Hit the hay,"To get into bed and go to sleep. ","2023-07-15","Miles"
Live by the sword die by the sword,"Live by the sword, die by the sword","Those who live a violent lifestyle will usually die a violent death. ","2023-07-15","Miles"
Knocking boots,Knock boots (with one),"To have sex (with one). ","2023-07-15","Miles"
Bumping uglies,Bump uglies,"To have sex. ","2023-07-15","Miles"
Get your ears lowered,Get (one's) ears lowered,"To get a haircut, especially to a length that reveals one's ears. ","2023-07-15","Miles"
Dragging your feet,Drag (one's) feet,"Literally, to not completely pick up one's feet when walking, so that they drag with each step. ","2023-07-15","Miles"
With your tail between your legs,With (one's) tail between (one's) legs,"Displaying embarrassment or shame, especially after losing or having to admit that one was wrong. Likened to a dog literally putting its tail between its legs after being disciplined. ","2023-07-15","Miles"
Spic and span,Spick and span,"Totally clean and/or organized. ","2023-07-15","Miles"
Roll in the hay,Roll in the hay,"A sexual encounter, often one considered casual. ","2023-07-15","Eve"
Run the gamut,Run the gamut,"To cover or extend across a wide and varied range. ","2023-07-15","Miles"
If it was a snake it would of bit you,,,"2023-07-15","Eve"
If looks could kill,If looks could kill,"An expression used when someone makes an angry or unpleasant face at someone, indicating that such an expression represents hostility. ","2023-07-15","Eve"
Staring daggers,,,"2023-07-15","Eve"
No skin off my back,Be no skin off (one's) back,"To be no cause of concern or interest to one; to pose one no difficulty, threat, or risk. ","2023-07-15","Eve"
Carrot on a stick,Carrot on a stick,"A reward that is promised to someone as an incentive to complete some task. It is a variant of ""carrot and stick"" or ""carrot or stick,"" which refer to both reward and punishment being simultaneously offered/threatened as an incentive to complete a task. ","2023-07-16","Miles"
Comparison is the thief of joy,,,"2023-07-16","Eve"
Robbing the cradle,Rob the cradle,"To date someone who is much younger than oneself. ","2023-07-16","Miles"
Going the way of the buffalo,,,"2023-07-16","Miles"
Shell of your former self,A shell of (someone's or something's) former self,"A person, group, place, etc., that has become dramatically less healthy, vivacious, or robust, often following some traumatic event or negative circumstances. ","2023-07-16","Eve"
The call is coming from inside the house,,,"2023-07-16","Eve"
Coming out swinging,Come out swinging,"To compete or defend someone or something passionately or aggressively. ","2023-07-16","Eve"
Rose colored glasses,Rose-colored glasses,"An unduly idealistic, optimistic, sentimental, or wistful perspective on or about something. Primarily heard in US. ","2023-07-16","Eve"
Fog of war,The fog of war,"Confusion, uncertainty, or skewed judgment caused by the violence and chaos of warfare, especially in relation to one's own capability compared to that of one's enemy. ","2023-07-16","Miles"
The whole 9 yards,,,"2023-07-16",
Turning over in your grave,(someone) is/would be turning over in their grave,"The thing in question is offensive to the memory of someone; someone would be filled with shame, disgust, or disapproval if they were alive today. ","2023-07-16","Eve"
Shooting fish in a barrel,Like shooting fish in a barrel,"Of some task or activity, exceptionally easy to do or accomplish. ","2023-07-16","Miles"
Light a fire under your ass,,,"2023-07-16","Mike"
An old flame,An/(one's) old flame,"One's former lover. ","2023-07-16","Mike"
Up in smoke,Up in smoke,"Destroyed by fire. ","2023-07-16","Mike"
Fighting fire with fire,Fight fire with fire,"To retaliate with the same methods that one has had to endure. ","2023-07-16","Miles"
Firing in all cylinders,,,"2023-07-16","Mike"
The lion’s share,The lion's share,"The largest part or portion of something. ","2023-07-16",
Pedal to the metal,Pedal to the metal,"Drive as fast as you can; push the accelerator down. ","2023-07-16",
Throw in the towel,Throw in the towel,"To give up on some endeavor; to quit or abandon something; to admit defeat or failure. ","2023-07-16",
Waking up on the wrong side of the bed,Wake up on the wrong side of (the) bed,"To be in a particularly and persistently irritable, unhappy, or grouchy mood or state, especially when it is not in line with one's normal disposition. ","2023-07-16",
Wrong side of the tracks,The wrong side of the tracks,"A part of a town or city that is particularly impoverished (and usually dangerous or undesirable as a result). ""Tracks"" refers to railroad tracks, which are sometimes thought of as demarcating different economic areas of a town. ","2023-07-16",
Dumpster fire,Dumpster fire,"A complete and utter disaster or a completely chaotic situation, likened to a fire in a dumpster, which quickly becomes uncontrollable. The phrase can be applied to both situations and people. ","2023-07-16",
The front lines,,,"2023-07-16",
Don’t cry over spilt milk,,,"2023-07-16",
Meat shield,,,"2023-07-16","Miles"
Throw up a white flag,,,"2023-07-16",
Throw down the gauntlet,Throw down the gauntlet,"To issue a challenge or invitation, as to a fight, argument, or competition. ","2023-07-16",
Getting your foot in the door,Get a/(one's) foot in the door,"To have a chance to do something that could lead to further opportunities. The phrase is often used to refer to employment. ","2023-07-16",
One foot out the door,One foot out the door,"A lack of commitment to or eagerness to give up on someone or something. ","2023-07-16",
Dip your toe in,Dip (one's) toe in(to) (something),"To tentatively begin or get involved in a new experience. Likened to gently placing one's toe into water to test its temperature. ","2023-07-16",
Test the waters,Test the water(s),"To informally or casually attempt to gauge the reaction of a potential audience or recipient of something, or to try to get an idea of what something will be like before actually doing it. Likened to feeling the temperature of water before getting in. ","2023-07-16",
Play the field,Play the field,"To bet on all horses in a race other than the one favored to win. ","2023-07-16",
Play ball,Play ball,"In baseball, a phrase traditionally said or shouted by the umpire to start the game. ","2023-07-16",
Throw it at the wall and see what sticks,,,"2023-07-16",
Watch a pot it never boils,,,"2023-07-16",
That’s all she wrote,That's all she wrote,"This is the end; there is nothing left to say. ","2023-07-16",
Head too big to fit in the door,,,"2023-07-16",
Kick the can down the road,Kick the can down the road,"Especially in politics, to postpone or defer a definitive action, decision, or solution, usually by effecting a short-term one instead. ","2023-07-16","Miles"
Stepping on toes,Step,"Used with the prepositions ""in"" or ""out of.""","2023-07-16",
Reading the writing in the wall,,,"2023-07-16",
Coming out of the woodwork,Come out of the woodwork,"To appear unexpectedly, or from unexpected places. ","2023-07-16",
If walls could talk,Background,"First, in January 2000, there were rumors that ""If Walls Could Talk"" would be Dion's next single in the United Kingdom. But two months later, Sony Music UK released ""","2023-07-16",
Fly on the wall,Fly on the wall,"One who is able to observe something closely but invisibly and without interfering in the situation. ","2023-07-16",
The walls have ears,The walls have ears,"Someone might be eavesdropping. ","2023-07-16",
Blow this popsicle stand,Blow this popsicle stand,"To leave a place, especially one that has become dull or of no use or interest, generally in search of something better. Often preceded by ""let's."" ","2023-07-16","Miles"
Till the wheels fall off,The wheels fall off,"Things go disastrously wrong; a situation devolves into ruin or chaos. ","2023-07-16",
Hot on your tail,,,"2023-07-16",
Bone to pick,A bone to pick,"An issue to discuss—typically one that is a source of annoyance for the speaker. ","2023-07-16",
Put out to pasture,Put (someone or something) out to pasture,"Literally, to retire an animal from working by allowing it roam in a field or pasture. ","2023-07-16",
Ball and chain,Ball and chain,"Something, usually a responsibility of some kind, that restricts one's freedom or limits one's possibilities for personal pursuits. ","2023-07-16",
Down in the dumps,Down in the dumps,"Sad or depressed. ","2023-07-16",
Don’t let the bed bugs bite,Don't let the bedbugs bite,"Sleep soundly and well. Part of the sing-song rhyme ""good night, sleep tight, don't let the bedbugs bite,"" usually said to a child. ","2023-07-16",
Smoke and mirrors,Smoke and mirrors,"Trickery, deception, or misdirection. ","2023-07-16",
Running circles around someone,Run circles around (someone or something),"To move much faster than someone or something. ","2023-07-16",
Picking up slack,,,"2023-07-16",
Burning the midnight oil,Burn the midnight oil,"To stay up late working on a project or task. The phrase refers to the outdated practice of using an oil lamp. ","2023-07-16","Mike"
Pass the torch,Pass the torch,"To transfer or bestow one's role, position, responsibilities, etc., to someone else. ","2023-07-16","Miles"
Butterflies in your stomach,Butterflies in (one's) stomach,"A feeling of nervousness. ","2023-07-16",
The lady doth protest too much,The lady doth protest too much,"Used to indicate that someone (not necessarily a woman) is only denying something so fervently because the opposite is actually true. Adapted from the line ""the lady doth protest too much, methinks"" in Shakespeare's ","2023-07-16","Eve"
Not all hero’s wear capes,,,"2023-07-16",
Walking on eggshells,Be walking on eggshells,"To be acting with great care and consideration so as not to upset someone. ","2023-07-16",
Treading water,Tread water,"To move one's feet and hands in a motion that will allow one to keep one's head above the surface of the water. ","2023-07-16",
Keeping your head above water,Keep (one's) head above water,"Literally, to hold one's head out of the water as to avoid drowning. ","2023-07-16",
Under the table,Under the table,"Secretly (often because what is being done is illegal). ","2023-07-16",
Tables have turned,,,"2023-07-16",
Deep-6,Deep six,,"2023-07-16",
6 feet under,,,"2023-07-16",
Look on the bright side,Look on the bright side,"To highlight the good in an otherwise bad situation. ","2023-07-16",
Casting a wide net,Cast a wide net,"To do something that will attract, appeal to, or include as large or diverse a group of people as possible. ","2023-07-16",
Paint with broad strokes,,,"2023-07-16",
Food for thought,Food for thought,"Something to consider. ","2023-07-16",
Penny pinching,Penny pincher,"Someone who is extremely frugal or miserly with their money; someone who is very unwilling or reluctant to spend. ","2023-07-16",
Cream of the crop,The cream of the crop,"The best of a particular group. ","2023-07-16",
Separate the wheat from the chaff,Separate the wheat from the chaff,"To separate the good or valuable from that which is inferior. ","2023-07-16",
Reel it in,Reel in,"To draw someone or something toward oneself by winding in a line. A noun or pronoun can be used between ""reel"" and ""in."" ","2023-07-16",
Right hand man,Right-hand man,"One's primary or most trusted assistant. Not necessarily a man. ","2023-07-16",
No man is an island,"No man is an island(, entire of itself)","A person requires the company and support of others and society as a whole in order to thrive. The line is from John Donne's ","2023-07-16","Eve"
Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. ","2023-07-16","Eve"
Opportunity is not a lengthy visitor,,,"2023-07-16","Eve"
If you want to make an omelette you have to break some eggs.,,,"2023-07-16",
Give ‘em enough rope to hang himself with,,,"2023-07-16",
Kick them while they’re down,,,"2023-07-16","Miles"
Tying the knot,Tie the knot,"To get married. An allusion to the handfasting ceremony, an ancient tradition of binding the hands of the bride and groom with lengths of cloth, cord, rope, etc., as a symbol of their lasting union. ","2023-07-16","Miles"
Tie up loose ends,Tie up (some/a few) loose ends,"To take care of, finish, or resolve some issues or pieces of business that are not critical but have remained outstanding. ","2023-07-16","Miles"
If it ain’t broke don’t fix it,"If it ain't broke, don't fix it","If something is performing or functioning well enough, there's no need to change or interfere with it (as you may introduce new problems as a result.) ","2023-07-16","Mike"
My ears are burning,(one's) ears are burning,"One intuits that people were talking about them, despite not witnessing it. ","2023-07-16","Mike"
The ball is in your court,The ball is in (one's) court,"One has the responsibility for further action, especially after someone else previously held responsibility. The phrase originated in tennis. ","2023-07-16","Mike"
Once in a blue moon,Once in a blue moon,"Very rarely. ","2023-07-16","Mike"
As right as rain,(as) right as rain,"In good health or order; feeling or working just as someone or something should. ","2023-07-16",
The bark is worse than the bite,,,"2023-07-16",
Path of least resistance,The path of least resistance,"The thing, option, or course of action that is easiest to do; that which avoids confrontation, difficulty, awkwardness, or tension. ","2023-07-16",
Keeping me on my toes,Keep (one) on (one's) toes,"To force someone to stay active, alert, and focused on something or someone. ","2023-07-16",
Go touch grass,,,"2023-07-16",
In a pickle,In a pickle,"In a troublesome or difficult situation. The adjectives ""pretty"" and ""right"" are commonly used before ""pickle."" ","2023-07-16",
Caught with your hand in the cookie jar,Caught with (one's) hand in the cookie jar,"To have been caught in the act or attempt of some wrongdoing, especially one involving bribery or the illicit exploitation of one's position of power or authority. ","2023-07-16",
Trim the fat,Trim the fat,"To excise or discard elements that are seen as superfluous or unnecessary. ","2023-07-16",
Taking candy from a baby,,,"2023-07-16",
To flesh out,,,"2023-07-16",
Get ahead of the game,Get ahead of the game,"To become prepared for or begin work on something ahead of schedule. ","2023-07-16",
In the trenches,(down) in the trenches,"The place, situation, or environment in which the most difficult or demanding work takes place. ","2023-07-16",
Cross that bridge when we come to it,Cross that bridge when (one) comes to it,"To address something only when it actually happens or becomes an issue. ","2023-07-16",
Take at at face value,,,"2023-07-16",
Toe the line,Toe the line,"To adhere to the rules of something. (Often misspelled as ""tow the line."") ","2023-07-16",
Draw a line in the sand,Draw a line in the sand,"To establish a figurative boundary that someone or some group refuses to cross or beyond which no further advance or compromise is accepted. ","2023-07-16",
On framing time,,,"2023-07-16",
Hold my beer,Hold my beer,"A phrase indicating that one is about to do something stupid or dangerous. The image is that of a person at a party who asks a friend to hold their beer so that they can attempt some kind of ill-advised stunt. It is often used humorously to describe how something bad was followed by something even worse. ","2023-07-16",
Don’t feed them after midnight,,,"2023-07-16",
Short end of the stick,The short end of the stick,"An unequal outcome of a deal that results in a disadvantage or burden. ","2023-07-16",
Beating a dead horse,Beat a dead horse,"To continue to focus on an issue or topic that is no longer of any importance or relevance. ","2023-07-16",
Slippery fish,,,"2023-07-16",
Snake in the grass,Snake in the grass,"One who feigns friendship with the intent to deceive. ","2023-07-16",
Sit back and rest on your laurels,,,"2023-07-16","Eve"
Barefoot and pregnant,Negative connotations,"A common assumption is that the expression relates to ","2023-07-16","Eve"
Rule of thumb,Rule of thumb,"An approximation; a suggested method or guideline. ","2023-07-16",
Ring a bell,Ring a bell,"To seem familiar, remind one of something, or stimulate an incomplete or indistinct memory. ","2023-07-16",
Fly by the seat of your pants,Fly by the seat of (one's) pants,"To rely on one's instinct, as opposed to acting according to a set plan. ","2023-07-17","Eve"
Play stupid games win stupid prizes,"Play stupid games, win stupid prizes","If you engage in behavior that is stupid, obnoxious, or reckless, you will suffer unpleasant consequences. ","2023-07-17","Eve"
On the nose,On the nose,"Precisely accurate; exactly right. ","2023-07-17",
Hit the nail on the head,Hit the nail (right) on the head,"Literally, to strike a nail on its head (the flat, circular end). ","2023-07-17",
Kick the bucket,,,"2023-07-17",
Strike while the iron is hot,Strike while the iron is hot,"To make most of an opportunity or favorable conditions while one has the chance to do so. ","2023-07-17",
Set in stone,Set in stone,"Permanent. Typically refers to a plan or idea. ","2023-07-17",
The clay is dry,,,"2023-07-17",
Trail of bread crumbs,,,"2023-07-17",
Hanging on by a thread,Hang on by a thread,"To be perilously close to failing, dying, or resulting in a bad outcome. ","2023-07-17",
Green thumb,Green thumb,"A proclivity for successfully growing plant life. (Often used with ""have."") ","2023-07-17",
Splitting hairs,Split hairs,"To make or focus on trivial or petty details, differences, or distinctions. ","2023-07-17",
Beast of burden,Beast of burden,"A domesticated animal used by humans to carry or pull heavy loads. ","2023-07-17",
Hang me out to dry,Hang (one) out to dry,"To desert one in a troubling situation. ","2023-07-17",
With out a pot to piss in or a window to throw it out of,,,"2023-07-17",
Without a leg to stand in,,,"2023-07-17",
Paint yourself into a corner,Paint (oneself) into a corner,"To create a predicament or unpleasant situation for oneself whereby there are no or very few favorable solutions or outcomes. ","2023-07-17",
Shooting from the hip,Shoot from the hip,"To speak or act rashly, recklessly, or bluntly, without consideration of potential consequences. An allusion to firing a handgun immediately upon drawing it from its holster without taking time to aim. ","2023-07-17",
Outside of my wheelhouse,Out(side) (of) (someone's) wheelhouse,"Against, outside of, or not matching someone's general interests, abilities, or area of familiarity; outside of someone's comfort zone. ","2023-07-17",
Above my pay grade,Above (one's) pay grade,"The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one's superiors. ","2023-07-17",
Caught in the crosshairs,,,"2023-07-17",
Target on you back,,,"2023-07-17",
Price on your head,,,"2023-07-17",
Death by 1000 cuts,,,"2023-07-17","Miles"
Can’t trust them as far as you can throw them,,,"2023-07-17",
Throw caution to the wind,Throw caution to the wind(s),"To abandon one's cautiousness in order to take a risk. ","2023-07-17",
Hold your horses,Hold your horses,"Wait a moment or be patient (often because you are moving too quickly or thoughtlessly). ","2023-07-17",
Bring a knife to a gunfight,Bring a knife to a gunfight,"To come poorly prepared or equipped for some task, goal, competition, or confrontation. Often used in the negative as a forewarning or piece of advice. ","2023-07-17",
Mexican standoff,Mexican standoff,"An impasse, deadlock, or stalemate from which no party involved will or can emerge victorious. Also written ""stand-off."" (Note: This phrase may be considered offensive to Mexicans or those of Mexican heritage.) Primarily heard in US. ","2023-07-17",
Play your cards right,Play (one's) cards right,"To act adeptly and with good judgment; to make the best and most effective use of the resources at one's disposal. ","2023-07-17",
Play your cards close to the chest,,,"2023-07-17",
Ace up your sleeve,Ace up (one's) sleeve,"A secret plan, idea, or advantage that can be utilized if and when it is required. A reference to cheating at a card game by hiding a favorable card up one's sleeve. ","2023-07-17",
Coming in hot,,,"2023-07-17",
Hold your hand,Hold (one's) hand,"Literally, to grasp one's hand and continue holding it, typically while walking together or sitting next to each other, often as a show of affection. ","2023-07-17",
The 11th hour,The eleventh hour,"The last possible moment or opportunity. Can be hyphenated if used as a modifier before a noun. ","2023-07-17",
A real class act,,,"2023-07-17",
For the birds,For the birds,"Worthless, stupid, or completely undesirable. ","2023-07-17",
Make ends meet,Make (both) ends meet,"To earn just enough money to cover one's living expenses. ","2023-07-17",
Wear your heart on your sleeve,Wear (one's) heart on (one's) sleeve,"To openly display or make known one's emotions or sentiments. ","2023-07-17",
Got it in the bag,,,"2023-07-17",
Idle hands are the devils playground,,,"2023-07-17",
Secure the bag,,,"2023-07-17",
Slow your roll,Slow (one's) roll,"To calm oneself down. Primarily heard in US. ","2023-07-17",
Off the beaten path,Off the beaten path,"Little-known, or in a remote or lesser-known area. Said especially of a business or destination. A ""beaten path"" refers to a route that is frequently traveled. ","2023-07-17",
Read em and weep,Read 'em and weep,"Look at these results, which clearly show that I am the winner and you are the loser. A clichéd expression that is especially commonly used during card games. ","2023-07-17",
My hands are tied,(one's) hands are tied,"One is being prevented from acting, helping, or intervening as one should or desires to because of circumstances beyond one's control, such as rules, conflicting orders, or higher priorities. ","2023-07-17",
With one had tied behind my back,,,"2023-07-17",
Knock your dick in the dirt,,,"2023-07-17","Miles"
Moving the goalpost,Move the goalposts,"To alter the rules or parameters of a situation in such a way as to suit one's needs or objectives, making it more difficult for someone else to succeed, keep pace, or achieve an opposing objective. ","2023-07-17",
Pulling the rug from under you,Pull the rug (out) from under (someone),"To suddenly or unexpectedly remove or rescind support, help, or assistance from someone; to abruptly leave someone in a problematic or difficult situation. ","2023-07-17",
All roads lead to rome,All roads lead to rome,"The same outcome can be reached by many methods or ideas. This phrase refers to the road system of the Roman Empire, in which Rome was positioned in the center, with every road attached to it. ","2023-07-17",
Walk in the park,A walk in the park,"A task or activity that is easy or effortless to accomplish. ","2023-07-17",
Too many irons in the fire,Too many irons in the fire,"An excessive number of simultaneous activities or potential undertakings or opportunities underway. ","2023-07-16","Mike"
Two tacos short of a combination plate,,,"2023-07-17",
A whole other ball game,,,"2023-07-18","Mike"
Burying your head in the sand,Bury (one's) head in the sand,"To avoid, or try to avoid, a particular situation by pretending that it does not exist. The phrase refers to the common but mistaken belief that ostriches bury their heads in the sand when frightened, so as to avoid being seen. ","2023-07-18",
Burn a hole in your pocket,Burn a hole in (one's) pocket,"To be in one's possession and causing one an intense urge to make use of it. Typically used in reference to money, suggesting that the person with the money feels the need to spend it quickly. ","2023-07-18",
Letting your true colors shine,,,"2023-07-18",
If you fall of your horse you gotta get back on,,,"2023-07-18",
If you want to make god laugh make a plan,,,"2023-07-18",
Gun shy,Gun-shy,"Frightened of using a gun or by the sound of one firing. ","2023-07-18",
Trigger happy,Trigger-happy,"Eager to use a weapon, i.e. to pull the trigger (of a gun). ","2023-07-18",
You can’t take it with you,(you) can't take it with you (when you go),"A warning against materialism that alludes to the fact that you can't keep your money or possessions when you die. ","2023-07-18",
Doesn’t pack a punch,,,"2023-07-18",
A drop in the bucket,Drop in the bucket,"A tiny amount, especially when compared to a much larger one. ","2023-07-18",
Opiate of the masses,The opiate of the masses,"That which creates a feeling of false happiness, contentment, or numbness to reality. Adapted from Karl Marx's description of organized religion. ","2023-07-19","Eve"
The faster they rise the harder they fall,,,"2023-07-19","Eve"
Out of sight out of mind,"Out of sight, out of mind","That which cannot be seen or is not noticeable will be forgotten. ","2023-07-19",
Wearing multiple hats,,,"2023-07-19",
Jack of all trades,Jack of all trades,"A person who is skilled in many different areas. ","2023-07-19",
The nearer the bone the sweeter the meat,"The nearer the bone, the sweeter the meat","The last parts of something are the most enjoyable. ","2023-07-19","Eve"
To worry is to make payments on a debt that may never come due,,,"2023-07-19","Eve"
A rolling stone gathers no moss,A rolling stone gathers no moss,"A person who wanders or travels often and at length will not be burdened by attachments such as friends, family, or possessions. Can be used as a negative (to suggest that such a person won't find a fulfilling place in life) or as a positive (to suggest that they will have a more interesting and unpredictable life). ","2023-07-19","Eve"
Necessity is the mother of invention,Necessity is the mother of invention,"Creative solutions are often produced in response to difficulties or hardships that need to be overcome. ","2023-07-19","Eve"
A day late and a dollar short,A day late and a dollar short,"Too late to be of any benefit. ","2023-07-19","Eve"
Sixpence none the richer,History,,"2023-07-19","Eve"
Lose the battle but win the war,"Lose the battle, but win the war","To suffer a minor defeat or failure, but achieve a larger, more important, or overarching success or victory over time. The phrase is often split into two halves across different parts of a sentence to achieve its meaning. ","2023-07-19","Eve"
Uncharted waters,Uncharted waters,"A situation or circumstance that is foreign, unclear, or unfamiliar and which may be dangerous or difficult as a result. ","2023-07-19","Miles"
For whom the bell tolls,Background,"Ernest Hemingway wrote ","2023-07-19","Eve"
Never look into another bowl except to see if they have enough,,,"2023-07-19","Eve"
A rose by any other name would smell as sweet,A rose by any other name (would smell as sweet),"What someone or something is called does not change their innate characteristics or attributes. The shorter version of the phrase is often used when describing undesirable people or things. The full line is from Shakespeare's ","2023-07-19","Eve"
He who laughs last laughs best,Have the last laugh,"To ultimately achieve success after encountering adversity or doubt from others. ","2023-07-19","Eve"
Kiss the ring,Kiss the ring,"To make a gesture of deference, fealty, or genuflection to a person of power or authority. ","2023-07-19","Eve"
A prison of our own device,,,"2023-07-19","Eve"
What goes around comes around,What goes around comes around,"One's actions or behavior will eventually have consequences for one, even if indirectly. The phrase typically refers to one being a victim of the same negative circumstances that they have inflicted on others. ","2023-07-19","Eve"
If your going to get we you might as well go swimming,,,"2023-07-19","Eve"
Don’t cry over spilt milk,,,"2023-07-19",
Put someone on a pedestal,Put (someone or something) (up) on a pedestal,"To believe or behave as if someone or something is perfect, wonderful, or better than others, to the extent that one is unable to see its potential flaws or faults. ","2023-07-19","Miles"
The view from your ivory tower,,,"2023-07-19","Eve"
On your high horse,On (one's) high horse,"Having an attitude of condescending moral superiority. ","2023-07-19","Eve"
Turn a blind eye,Turn a blind eye (to something),"To knowingly ignore some wrongdoing. ","2023-07-19","Miles"
Cat got your tongue,(has the) cat got your tongue?,"A humorous question directed at one who is not speaking very much or at all. ","2023-07-19","Miles"
Hard nut to crack,A hard nut (to crack),"A person, thing, situation, or problem that is particularly difficult to understand, solve, or deal with. ","2023-07-19","Miles"
